a52dec 0.7.4-9
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f081-5
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.1-1
licenses 20140629-1
linux 4.9.11-1
linux-api-headers 4.7-1
linux-firmware 20170217.12987ca-2
llvm-libs 3.9.1-2
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lua 5.3.4-1
lvm2 2.02.168-1
lz4 1:1.7.5-1
lzo 2.09-1
m4 1.4.18-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
mesa 17.0.1-1
mesa-libgl 17.0.1-1
mime-types 9-1
minizip 1:1.2.11-1
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mozilla-common 1.4-4
mpc 0.28-1
mpd 0.20.5-1
mpfr 3.1.5.p2-1
msgpack-c 2.1.1-1
mtdev 1.1.5-1
nano 2.7.5-1
ncmpc 0.25-1
ncmpcpp 0.7.7-4
ncurses 6.0+20170128-1
neomutt 20170225-1
neon 0.30.2-1
neovim 0.1.7-2
net-snmp 5.7.3-3
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
nodejs 7.7.1-1
notmuch 0.23.5-1
notmuch-runtime 0.23.5-1
npm 4.3.0-1
npth 1.3-1
nspr 4.13.1-1
nss 3.29.1-1
ntfs-3g 2016.2.22-2
ntpdate 4.2.8.p3-1
numlockx 1.2-3
ocl-icd 2.2.10-1
offlineimap 7.0.13-1
oh-my-zsh-git r4290.d2725d44-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssh 7.4p1-2
openssl 1.0.2.k-1
opus 1.1.4-1
orc 0.4.26-2
otf-fira-mono 2:3.206-1
otf-fira-sans 1:4.202-1
otf-ipafont 003.03-4
p11-kit 0.23.2-1
package-query 1.8-2
packagekit 1.1.5-1
pacman 5.0.1-4
pacman-mirrorlist 20170211-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.4-1
pangomm 2.40.1-1
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.22-2
perl 5.24.1-1
perl-clone 0.38-2
perl-dbi 1.636-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-ipc-system-simple 1.25-1
perl-parse-yapp 1.05-6
perl-xml-libxml 2.0128-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
pgadmin3 1.22.2-2
physlock 0.5-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
pkgbrowser 0.20.1-1
polkit 0.113+29+g3272a98-1
polybar 3.0.4-1
poppler 0.52.0-1
poppler-glib 0.52.0-1
popt 1.16-8
postgresql-libs 9.6.1-3
powerline-common 2.5.2-1
powerline-fonts 2.5.2-1
powerline2 2.5.2-1
procps-ng 3.3.12-1
protobuf 3.2.0-1
psmisc 22.21-3
pulseaudio 10.0-2
pulseaudio-alsa 2-3
pyenv 1.0.7-1
pygobject-devel 3.22.0-2
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
pyqt4-common 4.12-4
pyqt5-common 5.8-1
python 3.6.0-2
python-aiohttp 1.3.1-1
python-appdirs 1.4.2-1
python-argcomplete 1.6.0-1
python-async-timeout 1.1.0-1
python-babel 2.3.4-2
python-beaker 1.8.1-2
python-beautifulsoup4 4.5.3-1
python-cached-property 1.3.0-2
python-chardet 2.3.0-4
python-click 6.7-1
python-colorama 0.3.7-2
python-configargparse 0.11.0-2
python-dateutil 2.6.0-2
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-debtcollector 1.11.0-1
python-docker 2.1.0-1
python-docker-pycreds 0.2.1-2
python-dockerpty 0.4.1-2
python-docopt 0.6.2-4
python-docutils 0.13.1-2
python-glanceclient 2.6.0-1
